6.274263	5.397837	8.477485
4.718354	5.411931	10.948118
4.044283	5.591382	11.254259
4.781420	5.720005	12.314525
4.907645	5.724654	12.343129
6.552987	5.417512	7.059980
3.481947	6.049231	10.819014
5.004381	5.819946	12.254280
4.981052	5.806597	12.286690
4.927136	5.758598	12.282211
3.018385	2.878268	10.778176
4.345719	4.919792	10.623784
6.224231	5.361774	5.953881
6.244796	5.298088	5.995760
6.273232	5.330124	5.959116
6.276983	5.364730	6.082452
6.243430	5.336390	6.033969
3.799736	5.829890	11.106288
3.586566	5.868639	10.966773
3.970646	5.553664	11.616858
4.360581	6.050348	9.957627
2.888788	4.282779	10.865392
4.012929	3.695071	8.957749
4.518414	6.407196	8.574831
3.787157	5.911394	12.327308
3.854290	5.236735	9.490873
4.761159	5.820793	10.162228
5.088638	6.228974	11.291663
5.036071	5.758500	10.406008
5.084350	5.688888	10.434178
3.186604	5.548891	11.502785
3.225383	5.551219	11.724524
3.291708	3.223361	11.389691
2.859509	5.472467	11.859016
4.975839	5.786110	12.333406
4.261368	3.710494	8.972321
3.888706	3.558087	9.113256
4.800869	4.131792	8.581551
4.103534	3.682723	8.893390
4.209223	3.668856	8.898702
4.166076	3.648087	8.865519
3.908929	3.575977	9.024975
3.913370	3.596677	9.060541
3.864313	5.805064	12.262327
5.833225	5.563237	7.958470
2.824554	6.207825	11.852951
5.248395	4.692489	9.826876
6.496344	5.451952	7.193010
3.521786	4.091991	11.371308
3.386436	6.715549	9.838068
3.181582	7.072814	9.644077
3.181285	7.149822	9.600233
3.420218	6.770104	9.931012
3.117976	7.051707	9.667970
3.255974	7.206055	9.622043
2.996855	6.991591	9.645174
3.229257	7.006208	9.567869
3.087015	6.510696	12.570003
5.319749	4.774815	9.890091
5.407586	4.751696	9.931938
3.358771	3.426213	10.125874
3.492133	3.264238	10.150589
3.505635	3.301035	10.113641
3.356052	3.407400	10.105874
3.320942	3.412934	10.180750
4.123076	5.543336	11.115842
3.182522	5.555898	11.884501
2.744070	5.137319	11.694179
2.435901	6.786788	12.121541
3.497609	4.251269	11.508811
3.402009	3.817601	11.170770
5.029993	5.639654	9.825143
4.420202	5.424549	10.231328
5.710609	5.414654	8.282052
3.729192	7.264808	9.163092
4.660498	6.622546	8.052649
2.371108	4.814312	10.304823
2.171263	4.788604	10.473903
2.817063	7.164422	11.774302
3.949847	5.863153	11.624183
3.900501	5.914333	11.605754
4.618671	5.371980	10.677596
4.838364	5.205634	10.472228
4.797566	5.348532	10.634097
4.830561	5.282061	10.667508
4.664275	6.603854	8.091942
3.751936	4.948278	11.145756
5.839236	4.976884	7.671027
5.999564	5.121119	7.527191
6.016362	5.108069	7.513648
6.079794	5.113899	7.469417
2.649074	7.413704	12.282370
3.936528	3.713052	8.959141
2.839694	7.347092	11.964796
